category,product_name,id_subcategory,subcategory,,subcategory_name,id_subcategory
Technology,Jabra BIZ 2300 Duo QD Duo Corded Headset,,Phones,,,
Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,,Paper,,,
Office Supplies,Xerox 1883,,Paper,,,
Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black",,Storage,,,
Office Supplies,Newell 311,,Art,,,
Furniture,Global Deluxe High-Back Manager's Chair,,Chairs,,,
Office Supplies,Avery 519,,Labels,,,
Technology,Avaya 5420 Digital phone,,Phones,,,
Office Supplies,Xerox 1920,,Paper,,,
Technology,Lenovo 17-Key USB Numeric Keypad,,Accessories,,,
Office Supplies,Staple envelope,,Envelopes,,,
Office Supplies,Wilson Jones International Size A4 Ring Binders,,Binders,,,
Office Supplies,BIC Brite Liner Highlighters,,Art,,,
Technology,Lexmark MX611dhe Monochrome Laser Printer,,Machines,,,
Office Supplies,Space Solutions HD Industrial Steel Shelving.,,Storage,,,
Furniture,SAFCO Arco Folding Chair,,Chairs,,,
Office Supplies,Sanford Liquid Accent Highlighters,,Art,,,
Office Supplies,Kensington 7 Outlet MasterPiece Power Center,,Appliances,,,
Technology,JBL Micro Wireless Portable Bluetooth Speaker,,Phones,,,
Office Supplies,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",,Paper,,,
Office Supplies,Xerox 1913,,Paper,,,
Furniture,"Global Value Steno Chair, Gray",,Chairs,,,
Office Supplies,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,,Appliances,,,
Office Supplies,Avery 51,,Labels,,,
Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",,Appliances,,,
Furniture,"Padded Folding Chairs, Black, 4/Carton",,Chairs,,,
Office Supplies,Acme Rosewood Handle Letter Opener,,Supplies,,,
Office Supplies,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",,Art,,,
Office Supplies,"Tenex File Box, Personal Filing Tote with Lid, Black",,Storage,,,
Technology,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,,Accessories,,,
Technology,AT&T TR1909W,,Phones,,,
Technology,Nokia Lumia 521 (T-Mobile),,Phones,,,
Technology,HP Standard 104 key PS/2 Keyboard,,Accessories,,,
Office Supplies,Avery Poly Binder Pockets,,Binders,,,
Technology,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,,Accessories,,,
Office Supplies,"Personal Filing Tote with Lid, Black/Gray",,Storage,,,
Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,,Paper,,,
Furniture,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",,Bookcases,,,
Technology,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,,Phones,,,
Office Supplies,Xerox 205,,Paper,,,
Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,Bookcases,,,
Office Supplies,4009 Highlighters by Sanford,,Art,,,
Office Supplies,Poly String Tie Envelopes,,Envelopes,,,
Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",,Art,,,
Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",,Art,,,
Office Supplies,Decoflex Hanging Personal Folder File,,Storage,,,
Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",,Binders,,,
Office Supplies,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",,Paper,,,
Office Supplies,Southworth 25% Cotton Linen-Finish Paper & Envelopes,,Paper,,,
Furniture,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,,Tables,,,
Office Supplies,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",,Appliances,,,
Office Supplies,Eureka Sanitaire  Commercial Upright,,Appliances,,,
Furniture,"Eldon 200 Class Desk Accessories, Burgundy",,Furnishings,,,
Technology,Nortel Business Series Terminal T7208 Digital phone,,Phones,,,
Office Supplies,"Tennsco Lockers, Gray",,Storage,,,
Technology,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,,Phones,,,
Office Supplies,"Avery Durable Slant Ring Binders, No Labels",,Binders,,,
Office Supplies,"Advantus Push Pins, Aluminum Head",,Fasteners,,,
Office Supplies,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",,Storage,,,
Technology,Memorex Micro Travel Drive 8 GB,,Accessories,,,
Office Supplies,Avery 505,,Labels,,,
Furniture,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,,Bookcases,,,
Technology,Speck Products Candyshell Flip Case,,Phones,,,
Technology,Cisco 9971 IP Video Phone Charcoal,,Machines,,,
Technology,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,,Accessories,,,
Office Supplies,"Personal Filing Tote with Lid, Black/Gray",,Storage,,,
Technology,Adtran 1202752G1,,Phones,,,
Office Supplies,OIC Bulk Pack Metal Binder Clips,,Fasteners,,,
Office Supplies,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",,Paper,,,
Office Supplies,Ibico Standard Transparent Covers,,Binders,,,
Furniture,"Executive Impressions 14"" Two-Color Numerals Wall Clock",,Furnishings,,,
Technology,Swingline SM12-08 MicroCut Jam Free Shredder,,Machines,,,
Office Supplies,Stanley Bostitch Contemporary Electric Pencil Sharpeners,,Art,,,
Office Supplies,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",,Art,,,
Furniture,Bevis 36 x 72 Conference Tables,,Tables,,,
Office Supplies,Rogers Deluxe File Chest,,Storage,,,
Furniture,Global Low Back Tilter Chair,,Chairs,,,
Furniture,"Global Push Button Manager's Chair, Indigo",,Chairs,,,
Office Supplies,GBC Instant Index System for Binding Systems,,Binders,,,
Furniture,Bush Advantage Collection Round Conference Table,,Tables,,,
Furniture,Bretford Rectangular Conference Table Tops,,Tables,,,
Office Supplies,GBC Instant Index System for Binding Systems,,Binders,,,
Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",,Furnishings,,,
Technology,Logitech P710e Mobile Speakerphone,,Accessories,,,
Office Supplies,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),,Paper,,,
Office Supplies,Xerox 1957,,Paper,,,
Furniture,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,,Furnishings,,,
Furniture,Staple-based wall hangings,,Furnishings,,,
Technology,PureGear Roll-On Screen Protector,,Phones,,,
Furniture,KI Conference Tables,,Tables,,,
Furniture,Eldon 100 Class Desk Accessories,,Furnishings,,,
Office Supplies,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",,Art,,,
Furniture,Global Deluxe High-Back Manager's Chair,,Chairs,,,
Office Supplies,Safco Steel Mobile File Cart,,Storage,,,
Office Supplies,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",,Paper,,,
Office Supplies,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,,Appliances,,,
Office Supplies,Xerox 205,,Paper,,,
Furniture,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",,Chairs,,,
Office Supplies,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",,Paper,,,
Technology,Logitech P710e Mobile Speakerphone,,Accessories,,,
Office Supplies,"Fellowes Personal Hanging Folder Files, Navy",,Storage,,,
Office Supplies,Tyvek Side-Opening Peel & Seel Expanding Envelopes,,Envelopes,,,
Furniture,Eldon 100 Class Desk Accessories,,Furnishings,,,
Office Supplies,"Belkin 19"" Vented Equipment Shelf, Black",,Storage,,,
Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black",,Storage,,,
Technology,Logitech Mobile Speakerphone P710e - speaker phone,,Phones,,,
Technology,Sabrent 4-Port USB 2.0 Hub,,Accessories,,,
Office Supplies,Safco Industrial Shelving,,Storage,,,
Office Supplies,Acco 3-Hole Punch,,Binders,,,
Office Supplies,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,,Appliances,,,
Technology,Lexmark MX611dhe Monochrome Laser Printer,,Machines,,,
Technology,Xerox WorkCentre 6505DN Laser Multifunction Printer,,Machines,,,
Technology,Cisco Small Business SPA 502G VoIP phone,,Phones,,,
Technology,Microsoft Sculpt Comfort Mouse,,Accessories,,,
Office Supplies,"Quartet Omega Colored Chalk, 12/Pack",,Art,,,
Office Supplies,Bagged Rubber Bands,,Fasteners,,,
Office Supplies,Safco Commercial Shelving,,Storage,,,
Office Supplies,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",,Envelopes,,,
Office Supplies,Adjustable Depth Letter/Legal Cart,,Storage,,,
Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,,Accessories,,,
Furniture,Regeneration Desk Collection,,Furnishings,,,
Office Supplies,Presstex Flexible Ring Binders,,Binders,,,
Office Supplies,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",,Paper,,,
Office Supplies,Newell 330,,Art,,,
Office Supplies,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",,Paper,,,
Office Supplies,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",,Paper,,,
Office Supplies,Eldon Simplefile Box Office,,Storage,,,
Office Supplies,Avery 489,,Labels,,,
Office Supplies,Round Ring Binders,,Binders,,,
Technology,Bose SoundLink Bluetooth Speaker,,Phones,,,
Furniture,"Bevis Round Bullnose 29"" High Table Top",,Tables,,,
Office Supplies,Easy-staple paper,,Paper,,,
Technology,Microsoft Arc Touch Mouse,,Accessories,,,
Office Supplies,Xerox 216,,Paper,,,
Office Supplies,GBC VeloBinder Electric Binding Machine,,Binders,,,
Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",,Appliances,,,
Office Supplies,Premier Automatic Letter Opener,,Supplies,,,
Office Supplies,Advantus SlideClip Paper Clips,,Fasteners,,,
Office Supplies,Avery 512,,Labels,,,
Technology,Logitech Wireless Gaming Headset G930,,Accessories,,,
Furniture,"Bush Westfield Collection Bookcases, Medium Cherry Finish",,Bookcases,,,
Furniture,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",,Furnishings,,,
Furniture,Global Deluxe Office Fabric Chairs,,Chairs,,,
Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,,Furnishings,,,
Office Supplies,Ibico Laser Imprintable Binding System Covers,,Binders,,,
Office Supplies,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",,Fasteners,,,
Office Supplies,Xerox 223,,Paper,,,
Office Supplies,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",,Storage,,,
Office Supplies,Xerox 1939,,Paper,,,
Furniture,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",,Furnishings,,,
Office Supplies,Avery Premier Heavy-Duty Binder with Round Locking Rings,,Binders,,,
Furniture,BPI Conference Tables,,Tables,,,
Furniture,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,,Furnishings,,,
Office Supplies,Newell 350,,Art,,,
Office Supplies,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",,Binders,,,
Office Supplies,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,,Art,,,
Office Supplies,Faber Castell Col-Erase Pencils,,Art,,,
Furniture,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,,Furnishings,,,
Furniture,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,,Chairs,,,
Furniture,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",,Furnishings,,,
Office Supplies,Avery 509,,Labels,,,
Furniture,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",,Furnishings,,,
Technology,AT&T 1070 Corded Phone,,Phones,,,
Office Supplies,Xerox 21,,Paper,,,
Office Supplies,"Boston School Pro Electric Pencil Sharpener, 1670",,Art,,,
Furniture,DMI Arturo Collection Mission-style Design Wood Chair,,Chairs,,,
Technology,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,,Machines,,,
Technology,Panasonic Kx-TS550,,Phones,,,
Technology,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,,Accessories,,,
Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black",,Storage,,,
Office Supplies,OIC Binder Clips,,Fasteners,,,
Office Supplies,Ibico Laser Imprintable Binding System Covers,,Binders,,,
Technology,Logitech Wireless Headset h800,,Accessories,,,
Furniture,Telescoping Adjustable Floor Lamp,,Furnishings,,,
Technology,Aastra 57i VoIP phone,,Phones,,,
Office Supplies,"File Shuttle II and Handi-File, Black",,Storage,,,
Furniture,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,,Chairs,,,
Office Supplies,Round Specialty Laser Printer Labels,,Labels,,,
Office Supplies,GBC Premium Transparent Covers with Diagonal Lined Pattern,,Binders,,,
Technology,AT&T 841000 Phone,,Phones,,,
Office Supplies,Ibico Recycled Grain-Textured Covers,,Binders,,,
Office Supplies,Wilson Jones Custom Binder Spines & Labels,,Binders,,,
Office Supplies,Storex Dura Pro Binders,,Binders,,,
Technology,Hewlett Packard LaserJet 3310 Copier,,Copiers,,,
Office Supplies,Avery Non-Stick Binders,,Binders,,,
Office Supplies,Tuff Stuff Recycled Round Ring Binders,,Binders,,,
Furniture,Hon 5100 Series Wood Tables,,Tables,,,
Office Supplies,"OIC Binder Clips, Mini, 1/4"" Capacity, Black",,Fasteners,,,
Office Supplies,Newell 314,,Art,,,
Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,,Binders,,,
Office Supplies,Staples,,Fasteners,,,
Technology,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",,Phones,,,
Office Supplies,Fellowes Super Stor/Drawer,,Storage,,,
Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,,Phones,,,
Office Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",,Art,,,
Office Supplies,Easy-staple paper,,Paper,,,
Office Supplies,"BIC Brite Liner Highlighters, Chisel Tip",,Art,,,
Technology,Sabrent 4-Port USB 2.0 Hub,,Accessories,,,
Office Supplies,Xerox 1881,,Paper,,,
Office Supplies,Acco Hanging Data Binders,,Binders,,,
Office Supplies,Xerox 1881,,Paper,,,
Office Supplies,GBC DocuBind P400 Electric Binding System,,Binders,,,
Furniture,Sauder Barrister Bookcases,,Bookcases,,,
Office Supplies,"#10 Gummed Flap White Envelopes, 100/Box",,Envelopes,,,
Office Supplies,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",,Art,,,
Office Supplies,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",,Paper,,,
Office Supplies,Southworth 25% Cotton Linen-Finish Paper & Envelopes,,Paper,,,
Office Supplies,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,,Appliances,,,
Office Supplies,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",,Labels,,,
Office Supplies,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",,Labels,,,
Furniture,Global Ergonomic Managers Chair,,Chairs,,,
Office Supplies,Newell 333,,Art,,,
Furniture,Eldon Wave Desk Accessories,,Furnishings,,,
Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",,Storage,,,
Office Supplies,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,,Binders,,,
Office Supplies,Staple remover,,Supplies,,,
Office Supplies,Pizazz Global Quick File,,Storage,,,
Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,Bookcases,,,
Office Supplies,Xerox 1930,,Paper,,,
Office Supplies,File Shuttle I and Handi-File,,Storage,,,
Office Supplies,Wilson Jones Custom Binder Spines & Labels,,Binders,,,
Technology,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,,Accessories,,,
Office Supplies,Newell 324,,Art,,,
Technology,Microsoft Natural Keyboard Elite,,Accessories,,,
Office Supplies,Xerox 1960,,Paper,,,
Furniture,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",,Tables,,,
